fiscal_year,state,district_as_per_source,district_as_per_lgd,district_lgd_code,crop,season,area,production,crop_yield,year,avg_temperature_c,rainfall_mm,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct
2024-25,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Kharif,98521.31,230641.13,2341.0,2024,27.2,1299.0,78.2,6.84,269.0,35.0,158.0,35.0
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Rice,Summer,1661.99,3872.06,2330.0,2024,28.8,1269.0,84.2,6.39,327.0,29.0,166.0,71.0
2024-25,Odisha,Sambalpur,Sambalpur,371.0,Rice,Kharif,95281.43,221674.07,2327.0,2024,28.8,1753.0,81.4,5.85,336.0,22.0,151.0,69.0
2024-25,Odisha,Ganjam,Ganjam,354.0,Rice,Kharif,261718.23,605318.66,2313.0,2024,26.4,1307.0,81.2,6.67,284.0,31.0,179.0,58.0
2024-25,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Kharif,78982.86,180047.68,2280.0,2024,26.5,1354.0,75.1,6.08,344.0,24.0,149.0,20.0
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Kharif,29477.25,66868.69,2268.0,2024,25.4,1516.0,84.0,6.88,286.0,34.0,159.0,57.0
2024-25,Odisha,Malkangiri,Malkangiri,364.0,Rice,Summer,4809.97,10793.77,2244.0,2024,24.9,1684.0,83.9,5.97,270.0,24.0,169.0,55.0
2024-25,Odisha,Nayagarh,Nayagarh,367.0,Rice,Kharif,86471.18,193723.12,2240.0,2024,24.4,1537.0,78.6,5.8,287.0,24.0,174.0,48.0
2024-25,Odisha,Deogarh,Deogarh,351.0,Rice,Kharif,31760.15,70963.15,2234.0,2024,29.9,1947.0,86.0,6.27,318.0,24.0,175.0,36.0
2024-25,Odisha,Malkangiri,Malkangiri,364.0,Rice,Kharif,107231.4,235748.32,2199.0,2024,26.2,1437.0,76.5,6.59,228.0,26.0,156.0,45.0
2024-25,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Summer,293.0,639.28,2182.0,2024,26.3,1497.0,81.9,6.61,278.0,32.0,138.0,51.0
2024-25,Odisha,Balangir,Balangir,345.0,Rice,Kharif,153853.14,335226.21,2179.0,2024,25.1,1500.0,80.9,6.26,295.0,25.0,120.0,56.0
2024-25,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Kharif,344005.43,734276.76,2134.0,2024,28.2,1708.0,76.7,5.8,298.0,23.0,147.0,68.0
2024-25,Odisha,Nuapada,Nuapada,368.0,Rice,Kharif,57406.47,122190.67,2129.0,2024,24.6,1541.0,82.8,6.0,272.0,22.0,152.0,67.0
2024-25,Odisha,Balasore,Balasore,346.0,Rice,Kharif,171262.41,359565.45,2100.0,2024,26.7,1429.0,88.8,5.39,302.0,28.0,151.0,61.0
2024-25,Odisha,Kendrapara,Kendrapara,360.0,Rice,Kharif,123101.55,254354.32,2066.0,2024,25.7,1279.0,82.3,5.83,295.0,21.0,148.0,43.0
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Rice,Summer,1301.99,2658.01,2041.0,2024,27.6,1494.0,80.1,6.13,264.0,18.0,174.0,61.0
2024-25,Odisha,Jajpur,Jajapur,356.0,Rice,Kharif,106389.45,217008.75,2040.0,2024,26.2,1702.0,83.8,6.36,361.0,19.0,160.0,68.0
2024-25,Odisha,Kandhamal,Kandhamal,359.0,Rice,Summer,446.0,880.67,1975.0,2024,25.2,1376.0,82.4,6.06,300.0,22.0,162.0,68.0
2024-25,Odisha,Bhadrak,Bhadrak,348.0,Rice,Kharif,135068.38,262134.96,1941.0,2024,27.0,1545.0,82.1,6.18,273.0,23.0,149.0,72.0
2024-25,Odisha,Gajapati,Gajapati,353.0,Rice,Summer,1556.99,2948.3,1894.0,2024,27.6,1494.0,80.3,6.04,265.0,29.0,198.0,23.0
2024-25,Odisha,Gajapati,Gajapati,353.0,Rice,Kharif,32988.86,61545.78,1866.0,2024,27.1,1605.0,87.7,6.5,321.0,21.0,159.0,36.0
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Rice,Kharif,127950.96,202457.59,1582.0,2024,27.5,1305.0,83.8,5.84,289.0,30.0,118.0,52.0
2024-25,Odisha,Kandhamal,Kandhamal,359.0,Rice,Kharif,41647.38,64086.16,1539.0,2024,26.0,1872.0,79.9,6.54,374.0,16.0,149.0,70.0
2024-25,Odisha,Deogarh,Deogarh,351.0,Rice,Summer,8.0,10.93,1366.0,2024,26.5,1220.0,81.6,6.98,270.0,37.0,138.0,71.0
2024-25,Odisha,State Total,,,Rice,Summer,414540.01,1383734.51,3.3379998953538887,2024,26.0,1384.0,79.0,6.39,242.0,16.0,137.0,49.0
2024-25,Odisha,State Total,,,Rice,Kharif,3419305.01,8143587.74,2.3816499891596394,2024,26.5,1619.0,79.6,5.99,284.0,25.0,174.0,89.0
2023-24,Odisha,Sonepur,Sonepur,372.0,Rice,Kharif,104592.0,260322.42,2489.0,2023,25.8,1503.0,79.4,5.99,291.0,23.0,213.0,30.0
2023-24,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Kharif,88937.0,221274.7,2488.0,2023,24.4,1599.0,77.5,6.68,211.0,20.0,141.0,53.0
2023-24,Odisha,Angul,Anugul,344.0,Rice,Kharif,120016.0,279841.56,2332.0,2023,27.3,1361.0,85.1,5.75,274.0,27.0,157.0,68.0
2023-24,Odisha,Bargarh,Bargarh,347.0,Rice,Kharif,249400.0,577078.43,2314.0,2023,26.4,1437.0,80.8,5.82,272.0,29.0,149.0,51.0
2023-24,Odisha,Boudh,Boudh,349.0,Rice,Kharif,62100.0,143603.7,2312.0,2023,24.6,1452.0,84.2,5.73,272.0,23.0,122.0,44.0
2023-24,Odisha,Keonjhar,Kendujhar,361.0,Rice,Kharif,155202.0,356567.28,2297.0,2023,27.7,1732.0,79.3,5.69,263.0,30.0,188.0,76.0
2023-24,Odisha,Sambalpur,Sambalpur,371.0,Rice,Kharif,109246.0,250678.48,2295.0,2023,25.6,1574.0,81.8,5.78,238.0,24.0,146.0,56.0
2023-24,Odisha,Koraput,Koraput,363.0,Rice,Kharif,101955.0,231651.48,2272.0,2023,27.1,1593.0,79.2,6.52,312.0,19.0,180.0,61.0
2023-24,Odisha,Cuttack,Cuttack,350.0,Rice,Kharif,106309.0,230766.76,2171.0,2023,28.1,1332.0,84.9,6.64,265.0,24.0,191.0,76.0
2023-24,Odisha,Rayagada,Rayagada,370.0,Rice,Kharif,54510.0,116995.42,2146.0,2023,27.2,1624.0,81.0,5.92,249.0,21.0,163.0,46.0
2023-24,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Kharif,35349.0,75123.36,2125.0,2023,28.7,1491.0,79.1,6.28,258.0,26.0,144.0,61.0
2023-24,Odisha,Kalahandi,Kalahandi,358.0,Rice,Kharif,193094.0,409092.77,2119.0,2023,25.1,1700.0,75.4,6.5,268.0,22.0,110.0,52.0
2023-24,Odisha,Deogarh,Deogarh,351.0,Rice,Kharif,38433.0,80126.16,2085.0,2023,27.6,1813.0,83.1,6.24,289.0,24.0,178.0,40.0
2023-24,Odisha,Puri,Puri,369.0,Rice,Kharif,84741.0,176670.33,2085.0,2023,26.0,1395.0,79.2,5.82,308.0,19.0,208.0,74.0
2023-24,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Kharif,79127.0,164706.14,2082.0,2023,25.7,1377.0,81.9,5.61,252.0,29.0,156.0,66.0
2023-24,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Kharif,125741.0,256482.72,2040.0,2023,26.1,1294.0,80.0,6.6,268.0,22.0,174.0,62.0
2023-24,Odisha,Balasore,Balasore,346.0,Rice,Kharif,178991.0,352751.24,1971.0,2023,26.5,1424.0,85.8,6.4,238.0,19.0,157.0,59.0
2023-24,Odisha,Bhadrak,Bhadrak,348.0,Rice,Kharif,144129.0,267540.38,1856.0,2023,27.1,1381.0,84.2,6.43,166.0,37.0,153.0,79.0
2023-24,Odisha,Balangir,Balangir,345.0,Rice,Kharif,174715.0,317181.71,1815.0,2023,25.3,1515.0,83.8,5.76,290.0,17.0,196.0,20.0
2023-24,Odisha,Ganjam,Ganjam,354.0,Rice,Kharif,289194.0,518494.45,1793.0,2023,28.4,1424.0,79.5,6.29,338.0,27.0,168.0,54.0
2023-24,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Kharif,297311.0,532489.22,1791.0,2023,27.7,1385.0,83.9,6.45,303.0,13.0,165.0,36.0
2023-24,Odisha,Kendrapara,Kendrapara,360.0,Rice,Kharif,121225.0,208410.98,1719.0,2023,24.7,1642.0,88.9,6.33,267.0,26.0,168.0,62.0
2023-24,Odisha,Nayagarh,Nayagarh,367.0,Rice,Kharif,88898.0,150789.68,1696.0,2023,29.2,1281.0,78.7,5.9,288.0,25.0,167.0,76.0
2023-24,Odisha,Khordha,Khordha,362.0,Rice,Kharif,86352.0,145214.73,1682.0,2023,29.8,1528.0,82.7,6.6,244.0,23.0,133.0,45.0
2023-24,Odisha,Malkangiri,Malkangiri,364.0,Rice,Kharif,118859.0,197035.39,1658.0,2023,28.8,1377.0,75.4,5.59,281.0,17.0,162.0,81.0
2023-24,Odisha,Nuapada,Nuapada,368.0,Rice,Kharif,105074.0,169054.82,1609.0,2023,26.7,1580.0,87.6,6.57,270.0,20.0,199.0,64.0
2023-24,Odisha,Jajpur,Jajapur,356.0,Rice,Kharif,131099.0,209388.49,1597.0,2023,25.4,1699.0,80.4,6.63,255.0,20.0,181.0,70.0
2023-24,Odisha,Sundargarh,Sundargarh,373.0,Rice,Kharif,180475.0,272156.84,1508.0,2023,28.6,1395.0,85.1,6.83,299.0,18.0,154.0,70.0
2023-24,Odisha,Gajapati,Gajapati,353.0,Rice,Kharif,39633.0,57906.53,1461.0,2023,26.4,1529.0,75.1,6.06,376.0,19.0,169.0,64.0
2023-24,Odisha,Kandhamal,Kandhamal,359.0,Rice,Kharif,36030.0,49953.54,1386.0,2023,28.8,1482.0,89.2,5.8,343.0,31.0,190.0,44.0
2023-24,Odisha,State Total,,,Rice,Kharif,3700737.0,7279349.71,1.9670000083767096,2023,27.3,1306.0,80.6,6.52,282.0,26.0,172.0,47.0
2023-24,Odisha,State Total,,,Rice,Summer,371200.0,0.0,0.0,2023,28.5,1493.0,84.2,5.92,316.0,31.0,215.0,58.0
2023-24,Odisha,Angul,Anugul,344.0,Rice,Summer,970.5,,,2023,27.5,1502.0,82.6,6.22,315.0,19.0,172.0,51.0
2023-24,Odisha,Balangir,Balangir,345.0,Rice,Summer,5938.28,,,2023,28.1,1524.0,81.0,6.07,262.0,22.0,170.0,66.0
2023-24,Odisha,Balasore,Balasore,346.0,Rice,Summer,50263.96,,,2023,27.0,1414.0,88.7,5.84,308.0,15.0,143.0,24.0
2023-24,Odisha,Bargarh,Bargarh,347.0,Rice,Summer,97597.23,,,2023,29.7,1467.0,75.4,6.33,235.0,18.0,132.0,63.0
2023-24,Odisha,Bhadrak,Bhadrak,348.0,Rice,Summer,1950.6,,,2023,27.2,1243.0,83.2,5.64,257.0,23.0,186.0,57.0
2023-24,Odisha,Boudh,Boudh,349.0,Rice,Summer,3411.15,,,2023,27.6,1386.0,85.6,6.44,293.0,22.0,157.0,54.0
2023-24,Odisha,Cuttack,Cuttack,350.0,Rice,Summer,2171.6,,,2023,29.8,1550.0,81.9,5.81,270.0,33.0,150.0,57.0
2023-24,Odisha,Deogarh,Deogarh,351.0,Rice,Summer,230.61,,,2023,25.0,1611.0,81.5,5.51,346.0,25.0,176.0,25.0
2023-24,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Summer,855.19,,,2023,25.1,1374.0,81.4,6.18,308.0,23.0,153.0,68.0
2023-24,Odisha,Gajapati,Gajapati,353.0,Rice,Summer,1172.28,,,2023,28.5,1469.0,77.1,6.37,272.0,26.0,179.0,58.0
2023-24,Odisha,Ganjam,Ganjam,354.0,Rice,Summer,19.22,,,2023,25.2,1491.0,82.2,6.43,269.0,24.0,170.0,95.0
2023-24,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Summer,1085.8,,,2023,29.9,1486.0,84.1,6.53,292.0,19.0,152.0,69.0
2023-24,Odisha,Jajpur,Jajapur,356.0,Rice,Summer,4102.98,,,2023,26.4,1547.0,82.3,5.26,248.0,21.0,170.0,61.0
2023-24,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Summer,1844.9,,,2023,25.9,1123.0,80.9,5.8,306.0,31.0,135.0,42.0
2023-24,Odisha,Kalahandi,Kalahandi,358.0,Rice,Summer,60218.75,,,2023,29.9,1441.0,80.0,6.24,237.0,31.0,174.0,45.0
2023-24,Odisha,Kandhamal,Kandhamal,359.0,Rice,Summer,624.58,,,2023,29.2,1493.0,80.9,6.81,307.0,25.0,155.0,44.0
2023-24,Odisha,Kendrapara,Kendrapara,360.0,Rice,Summer,826.36,,,2023,29.8,1270.0,87.0,6.51,279.0,29.0,164.0,87.0
2023-24,Odisha,Keonjhar,Kendujhar,361.0,Rice,Summer,778.32,,,2023,28.4,1751.0,73.7,6.96,300.0,32.0,190.0,46.0
2023-24,Odisha,Khordha,Khordha,362.0,Rice,Summer,5063.87,,,2023,25.7,1479.0,82.2,5.99,250.0,22.0,166.0,35.0
2023-24,Odisha,Koraput,Koraput,363.0,Rice,Summer,28019.45,,,2023,29.9,1731.0,80.7,6.31,294.0,25.0,152.0,72.0
2023-24,Odisha,Malkangiri,Malkangiri,364.0,Rice,Summer,1239.54,,,2023,26.6,1308.0,87.8,5.76,369.0,25.0,185.0,71.0
2023-24,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Summer,3651.37,,,2023,28.2,1287.0,82.2,6.04,269.0,20.0,164.0,56.0
2023-24,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Summer,1162.67,,,2023,28.4,1490.0,87.9,5.91,296.0,26.0,189.0,72.0
2023-24,Odisha,Nayagarh,Nayagarh,367.0,Rice,Summer,9.61,,,2023,26.8,1148.0,73.5,5.95,338.0,18.0,150.0,62.0
2023-24,Odisha,Nuapada,Nuapada,368.0,Rice,Summer,9656.91,,,2023,27.9,1489.0,83.8,6.04,312.0,25.0,159.0,39.0
2023-24,Odisha,Puri,Puri,369.0,Rice,Summer,34034.59,,,2023,28.4,1467.0,83.1,6.2,300.0,23.0,145.0,90.0
2023-24,Odisha,Rayagada,Rayagada,370.0,Rice,Summer,336.31,,,2023,27.6,1633.0,87.6,6.21,250.0,26.0,139.0,25.0
2023-24,Odisha,Sambalpur,Sambalpur,371.0,Rice,Summer,12895.09,,,2023,25.4,1576.0,75.4,6.42,240.0,17.0,168.0,53.0
2023-24,Odisha,Sonepur,Sonepur,372.0,Rice,Summer,39357.9,,,2023,27.4,1375.0,81.4,6.26,287.0,21.0,153.0,80.0
2023-24,Odisha,Sundargarh,Sundargarh,373.0,Rice,Summer,1710.38,,,2023,29.0,1252.0,82.3,6.06,269.0,33.0,150.0,88.0
2022-23,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Summer,1080.0,4910.0,4.55,2022,26.0,1758.0,80.0,5.99,284.0,23.0,168.0,44.0
2022-23,Odisha,Sambalpur,Sambalpur,371.0,Rice,Summer,11400.0,51770.0,4.54,2022,26.8,1307.0,86.9,6.08,292.0,24.0,144.0,58.0
2022-23,Odisha,Bargarh,Bargarh,347.0,Rice,Winter,205710.0,857530.0,4.17,2022,26.3,1262.0,80.6,6.02,261.0,21.0,163.0,43.0
2022-23,Odisha,Sonepur,Sonepur,372.0,Rice,Summer,37010.0,149170.0,4.03,2022,29.8,1255.0,90.1,6.4,302.0,24.0,155.0,80.0
2022-23,Odisha,Bargarh,Bargarh,347.0,Rice,Summer,90730.0,364430.0,4.02,2022,28.0,1651.0,86.2,6.55,350.0,26.0,202.0,62.0
2022-23,Odisha,Kendrapara,Kendrapara,360.0,Rice,Summer,490.0,1930.0,3.94,2022,27.6,1357.0,85.8,6.71,250.0,22.0,148.0,53.0
2022-23,Odisha,Kalahandi,Kalahandi,358.0,Rice,Summer,45670.0,170500.0,3.73,2022,25.8,1314.0,84.2,5.88,269.0,23.0,138.0,66.0
2022-23,Odisha,State Total,,,Rice,Summer,335510.0,1248690.0,3.7217668623886015,2022,27.8,1475.0,77.7,6.39,283.0,23.0,154.0,35.0
2022-23,Odisha,Sonepur,Sonepur,372.0,Rice,Winter,105340.0,392250.0,3.72,2022,26.0,1413.0,80.3,5.64,325.0,25.0,168.0,39.0
2022-23,Odisha,Baleshwar,Balasore,346.0,Rice,Summer,47130.0,174490.0,3.7,2022,27.0,1328.0,84.3,6.35,243.0,30.0,147.0,62.0
2022-23,Odisha,Cuttack,Cuttack,350.0,Rice,Summer,2340.0,8610.0,3.68,2022,26.0,1586.0,84.7,6.63,248.0,21.0,154.0,77.0
2022-23,Odisha,Khordha,Khordha,362.0,Rice,Summer,1860.0,6680.0,3.59,2022,28.0,1642.0,87.2,6.14,209.0,28.0,139.0,54.0
2022-23,Odisha,Kendujhar,Kendujhar,361.0,Rice,Autumn,17910.0,63570.0,3.55,2022,27.9,1627.0,80.1,6.63,270.0,28.0,148.0,63.0
2022-23,Odisha,Kendujhar,Kendujhar,361.0,Rice,Winter,155860.0,543520.0,3.49,2022,26.7,1588.0,78.6,5.74,309.0,25.0,172.0,43.0
2022-23,Odisha,Puri,Puri,369.0,Rice,Summer,35920.0,125510.0,3.49,2022,27.6,1522.0,85.4,5.84,322.0,29.0,183.0,84.0
2022-23,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Summer,640.0,2190.0,3.42,2022,25.4,1130.0,78.8,6.15,298.0,24.0,173.0,71.0
2022-23,Odisha,Boudh,Boudh,349.0,Rice,Winter,65020.0,221770.0,3.41,2022,24.8,1750.0,85.5,6.61,264.0,25.0,184.0,78.0
2022-23,Odisha,Anugul,Anugul,344.0,Rice,Winter,117080.0,396620.0,3.39,2022,27.7,1504.0,86.8,6.03,310.0,23.0,163.0,83.0
2022-23,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Winter,85970.0,291590.0,3.39,2022,27.3,1559.0,83.8,6.02,292.0,23.0,178.0,54.0
2022-23,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Winter,111520.0,375810.0,3.37,2022,28.0,1651.0,80.6,5.8,218.0,23.0,173.0,53.0
2022-23,Odisha,Balangir,Balangir,345.0,Rice,Summer,9080.0,30410.0,3.35,2022,30.6,1708.0,82.2,6.28,242.0,15.0,165.0,28.0
2022-23,Odisha,Koraput,Koraput,363.0,Rice,Winter,88880.0,295250.0,3.32,2022,28.4,1525.0,84.4,6.7,338.0,27.0,116.0,51.0
2022-23,Odisha,Rayagada,Rayagada,370.0,Rice,Winter,48570.0,156900.0,3.23,2022,25.6,1528.0,82.0,6.48,296.0,22.0,162.0,68.0
2022-23,Odisha,Sambalpur,Sambalpur,371.0,Rice,Winter,75790.0,244210.0,3.22,2022,28.7,1342.0,90.8,6.48,237.0,17.0,183.0,74.0
2022-23,Odisha,Anugul,Anugul,344.0,Rice,Summer,1180.0,3780.0,3.2,2022,25.0,1456.0,78.0,6.12,314.0,29.0,149.0,62.0
2022-23,Odisha,Koraput,Koraput,363.0,Rice,Summer,28100.0,88100.0,3.14,2022,26.3,1296.0,78.0,5.97,322.0,19.0,201.0,56.0
2022-23,Odisha,Nuapada,Nuapada,368.0,Rice,Summer,11150.0,34500.0,3.09,2022,26.9,1320.0,78.1,6.47,270.0,28.0,182.0,73.0
2022-23,Odisha,Ganjam,Ganjam,354.0,Rice,Winter,293390.0,897490.0,3.06,2022,29.6,1289.0,79.6,6.19,308.0,20.0,195.0,64.0
2022-23,Odisha,Kalahandi,Kalahandi,358.0,Rice,Winter,172460.0,528030.0,3.06,2022,25.9,1422.0,73.3,6.13,154.0,29.0,200.0,49.0
2022-23,Odisha,Bargarh,Bargarh,347.0,Rice,Autumn,29520.0,89320.0,3.03,2022,25.8,1639.0,79.5,6.56,319.0,33.0,123.0,56.0
2022-23,Odisha,Ganjam,Ganjam,354.0,Rice,Summer,170.0,510.0,3.0,2022,26.9,2021.0,79.4,6.12,326.0,16.0,184.0,62.0
2022-23,Odisha,State Total,,,Rice,Winter,3349880.0,9978410.0,2.978736551757078,2022,26.0,1484.0,82.3,5.86,246.0,23.0,170.0,42.0
2022-23,Odisha,Baleshwar,Balasore,346.0,Rice,Winter,173010.0,511770.0,2.96,2022,28.7,1207.0,83.7,6.56,295.0,29.0,189.0,20.0
2022-23,Odisha,Khordha,Khordha,362.0,Rice,Winter,80220.0,236890.0,2.95,2022,25.4,1678.0,77.0,6.23,273.0,25.0,185.0,69.0
2022-23,Odisha,Kendujhar,Kendujhar,361.0,Rice,Summer,1380.0,4000.0,2.9,2022,25.3,1396.0,85.6,5.79,281.0,25.0,154.0,43.0
2022-23,Odisha,Cuttack,Cuttack,350.0,Rice,Winter,109760.0,317020.0,2.89,2022,26.3,1331.0,89.2,5.75,270.0,29.0,145.0,72.0
2022-23,Odisha,Bhadrak,Bhadrak,348.0,Rice,Winter,139640.0,400550.0,2.87,2022,26.3,1488.0,81.2,6.24,238.0,20.0,145.0,68.0
2022-23,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Rice,Winter,76030.0,216620.0,2.85,2022,29.9,1227.0,88.3,7.13,351.0,18.0,168.0,56.0
2022-23,Odisha,Deogarh,Deogarh,351.0,Rice,Winter,31270.0,88730.0,2.84,2022,28.4,1490.0,82.8,6.04,274.0,20.0,146.0,85.0
