fiscal_year,district,district_source,district_lgd_code,season,area,production,reported_crop_yield,year,avg_temperature_c,rainfall_mm,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,irrigation_pct,yield_kg_ha
2024-25,Koraput,Koraput,363.0,Summer,31904.77,96212.37,3016.0,2024,27.7,1229.0,79.0,5.74,251.0,23.0,173.0,46.0,3015.610831859938
2024-25,Jagatsinghapur,Jagatsinghapur,355.0,Summer,1279.99,3852.72,3010.0,2024,27.5,1624.0,76.2,5.91,358.0,16.0,130.0,49.0,3009.961015320432
2024-25,Anugul,Angul,344.0,Kharif,88272.1,260889.59,2956.0,2024,29.2,1440.0,92.5,5.71,325.0,25.0,171.0,47.0,2955.5158424915685
2024-25,Sonepur,Sonepur,372.0,Kharif,92931.1,270059.21,2906.0,2024,26.7,1402.0,79.0,6.0,310.0,27.0,177.0,47.0,2906.0154243304983
2024-25,Boudh,Boudh,349.0,Summer,5404.96,15550.75,2877.0,2024,27.5,1514.0,76.8,6.52,280.0,25.0,164.0,29.0,2877.1258251679938
2024-25,Ganjam,Ganjam,354.0,Summer,536.0,1518.9,2834.0,2024,25.7,1423.0,78.8,6.42,317.0,25.0,177.0,41.0,2833.768656716418
2024-25,Koraput,Koraput,363.0,Kharif,89139.84,251814.43,2825.0,2024,23.2,1216.0,78.9,5.76,240.0,25.0,189.0,70.0,2824.9369754309632
2024-25,Nuapada,Nuapada,368.0,Summer,7497.95,20576.54,2744.0,2024,28.0,1680.0,80.9,6.4,339.0,19.0,194.0,53.0,2744.288772264419
2024-25,Bhadrak,Bhadrak,348.0,Summer,2612.98,7089.55,2713.0,2024,28.3,1689.0,85.3,6.23,284.0,32.0,181.0,51.0,2713.204846573644
2024-25,Boudh,Boudh,349.0,Kharif,61742.17,166619.02,2699.0,2024,25.9,1487.0,80.8,6.0,313.0,22.0,148.0,51.0,2698.6259148326017
2024-25,Cuttack,Cuttack,350.0,Kharif,105695.26,283518.02,2682.0,2024,30.4,1458.0,78.3,5.64,308.0,31.0,167.0,63.0,2682.409977514602
2024-25,Kendujhar,Keonjhar,361.0,Kharif,172252.13,456023.45,2647.0,2024,24.8,1871.0,76.2,6.13,280.0,21.0,151.0,38.0,2647.418351227355
2024-25,Khordha,Khordha,362.0,Kharif,86440.43,228770.22,2647.0,2024,27.1,1400.0,82.1,6.47,279.0,29.0,156.0,72.0,2646.5650390679457
2024-25,Balangir,Balangir,345.0,Summer,8888.94,23271.69,2618.0,2024,26.7,1403.0,82.2,5.33,328.0,25.0,155.0,27.0,2618.05007121209
2024-25,Kalahandi,Kalahandi,358.0,Kharif,193227.55,499185.84,2583.0,2024,29.3,1516.0,88.1,6.04,321.0,25.0,164.0,73.0,2583.40924987146
2024-25,Nabarangpur,Nabarangpur,366.0,Summer,2556.98,6552.18,2562.0,2024,29.2,1715.0,82.4,7.1,223.0,19.0,169.0,64.0,2562.468224233275
2024-25,Puri,Puri,369.0,Kharif,88729.27,225740.61,2544.0,2024,27.2,1737.0,81.6,6.47,226.0,30.0,207.0,27.0,2544.1504252204486
2024-25,Jajapur,Jajpur,356.0,Summer,3767.97,9467.17,2513.0,2024,27.6,1403.0,77.8,6.3,252.0,26.0,170.0,59.0,2512.5385817827637
2024-25,Mayurbhanj,Mayurbhanj,365.0,Summer,9250.93,22877.28,2473.0,2024,25.7,1505.0,80.8,5.91,254.0,24.0,201.0,64.0,2472.970825635909
2024-25,Rayagada,Rayagada,370.0,Summer,869.99,2139.99,2460.0,2024,24.0,1202.0,80.2,5.93,246.0,30.0,165.0,40.0,2459.786894102231
2024-25,Rayagada,Rayagada,370.0,Kharif,52463.84,126356.59,2408.0,2024,26.5,1394.0,80.5,6.17,295.0,24.0,180.0,57.0,2408.4510398018906
2024-25,Nabarangpur,Nabarangpur,366.0,Kharif,98521.31,230641.13,2341.0,2024,27.2,1299.0,78.2,6.84,269.0,35.0,158.0,35.0,2341.0278446358457
2024-25,Sundargarh,Sundargarh,373.0,Summer,1661.99,3872.06,2330.0,2024,28.8,1269.0,84.2,6.39,327.0,29.0,166.0,71.0,2329.773344003273
2024-25,Sambalpur,Sambalpur,371.0,Kharif,95281.43,221674.07,2327.0,2024,28.8,1753.0,81.4,5.85,336.0,22.0,151.0,69.0,2326.5191338962904
2024-25,Ganjam,Ganjam,354.0,Kharif,261718.23,605318.66,2313.0,2024,26.4,1307.0,81.2,6.67,284.0,31.0,179.0,58.0,2312.8639529619313
2024-25,Jagatsinghapur,Jagatsinghapur,355.0,Kharif,78982.86,180047.68,2280.0,2024,26.5,1354.0,75.1,6.08,344.0,24.0,149.0,20.0,2279.579139068907
2024-25,Jharsuguda,Jharsuguda,357.0,Kharif,29477.25,66868.69,2268.0,2024,25.4,1516.0,84.0,6.88,286.0,34.0,159.0,57.0,2268.4846788625127
2024-25,Malkangiri,Malkangiri,364.0,Summer,4809.97,10793.77,2244.0,2024,24.9,1684.0,83.9,5.97,270.0,24.0,169.0,55.0,2244.0410231248843
2024-25,Nayagarh,Nayagarh,367.0,Kharif,86471.18,193723.12,2240.0,2024,24.4,1537.0,78.6,5.8,287.0,24.0,174.0,48.0,2240.3200696463264
2024-25,Deogarh,Deogarh,351.0,Kharif,31760.15,70963.15,2234.0,2024,29.9,1947.0,86.0,6.27,318.0,24.0,175.0,36.0,2234.345555672753
2024-25,Malkangiri,Malkangiri,364.0,Kharif,107231.4,235748.32,2199.0,2024,26.2,1437.0,76.5,6.59,228.0,26.0,156.0,45.0,2198.50081226208
2024-25,Dhenkanal,Dhenkanal,352.0,Summer,293.0,639.28,2182.0,2024,26.3,1497.0,81.9,6.61,278.0,32.0,138.0,51.0,2181.843003412969
2024-25,Balangir,Balangir,345.0,Kharif,153853.14,335226.21,2179.0,2024,25.1,1500.0,80.9,6.26,295.0,25.0,120.0,56.0,2178.871422448706
2024-25,Mayurbhanj,Mayurbhanj,365.0,Kharif,344005.43,734276.76,2134.0,2024,28.2,1708.0,76.7,5.8,298.0,23.0,147.0,68.0,2134.491772411848
2024-25,Nuapada,Nuapada,368.0,Kharif,57406.47,122190.67,2129.0,2024,24.6,1541.0,82.8,6.0,272.0,22.0,152.0,67.0,2128.5173953388876
2024-25,Balasore,Balasore,346.0,Kharif,171262.41,359565.45,2100.0,2024,26.7,1429.0,88.8,5.39,302.0,28.0,151.0,61.0,2099.500117976852
2024-25,Kendrapara,Kendrapara,360.0,Kharif,123101.55,254354.32,2066.0,2024,25.7,1279.0,82.3,5.83,295.0,21.0,148.0,43.0,2066.215413209663
2024-25,Kendujhar,Keonjhar,361.0,Summer,1301.99,2658.01,2041.0,2024,27.6,1494.0,80.1,6.13,264.0,18.0,174.0,61.0,2041.498014577685
2024-25,Jajapur,Jajpur,356.0,Kharif,106389.45,217008.75,2040.0,2024,26.2,1702.0,83.8,6.36,361.0,19.0,160.0,68.0,2039.758171510427
2024-25,Kandhamal,Kandhamal,359.0,Summer,446.0,880.67,1975.0,2024,25.2,1376.0,82.4,6.06,300.0,22.0,162.0,68.0,1974.5964125560538
2024-25,Bhadrak,Bhadrak,348.0,Kharif,135068.38,262134.96,1941.0,2024,27.0,1545.0,82.1,6.18,273.0,23.0,149.0,72.0,1940.7574148738586
2024-25,Gajapati,Gajapati,353.0,Summer,1556.99,2948.3,1894.0,2024,27.6,1494.0,80.3,6.04,265.0,29.0,198.0,23.0,1893.5895542039448
2024-25,Gajapati,Gajapati,353.0,Kharif,32988.86,61545.78,1866.0,2024,27.1,1605.0,87.7,6.5,321.0,21.0,159.0,36.0,1865.6534357355786
2024-25,Sundargarh,Sundargarh,373.0,Kharif,127950.96,202457.59,1582.0,2024,27.5,1305.0,83.8,5.84,289.0,30.0,118.0,52.0,1582.3061429160045
2024-25,Kandhamal,Kandhamal,359.0,Kharif,41647.38,64086.16,1539.0,2024,26.0,1872.0,79.9,6.54,374.0,16.0,149.0,70.0,1538.7801105375656
2024-25,Deogarh,Deogarh,351.0,Summer,8.0,10.93,1366.0,2024,26.5,1220.0,81.6,6.98,270.0,37.0,138.0,71.0,1366.25
2023-24,Sonepur,Sonepur,372.0,Kharif,104592.0,260322.42,2489.0,2023,25.8,1503.0,79.4,5.99,291.0,23.0,213.0,30.0,2488.932423129876
2023-24,Dhenkanal,Dhenkanal,352.0,Kharif,88937.0,221274.7,2488.0,2023,24.4,1599.0,77.5,6.68,211.0,20.0,141.0,53.0,2487.9937483836875
2023-24,Anugul,Angul,344.0,Kharif,120016.0,279841.56,2332.0,2023,27.3,1361.0,85.1,5.75,274.0,27.0,157.0,68.0,2331.702106385815
2023-24,Bargarh,Bargarh,347.0,Kharif,249400.0,577078.43,2314.0,2023,26.4,1437.0,80.8,5.82,272.0,29.0,149.0,51.0,2313.8670008019244
2023-24,Boudh,Boudh,349.0,Kharif,62100.0,143603.7,2312.0,2023,24.6,1452.0,84.2,5.73,272.0,23.0,122.0,44.0,2312.458937198068
2023-24,Kendujhar,Keonjhar,361.0,Kharif,155202.0,356567.28,2297.0,2023,27.7,1732.0,79.3,5.69,263.0,30.0,188.0,76.0,2297.4399814435383
2023-24,Sambalpur,Sambalpur,371.0,Kharif,109246.0,250678.48,2295.0,2023,25.6,1574.0,81.8,5.78,238.0,24.0,146.0,56.0,2294.623876389067
2023-24,Koraput,Koraput,363.0,Kharif,101955.0,231651.48,2272.0,2023,27.1,1593.0,79.2,6.52,312.0,19.0,180.0,61.0,2272.0953361777256
2023-24,Cuttack,Cuttack,350.0,Kharif,106309.0,230766.76,2171.0,2023,28.1,1332.0,84.9,6.64,265.0,24.0,191.0,76.0,2170.7170606439718
2023-24,Rayagada,Rayagada,370.0,Kharif,54510.0,116995.42,2146.0,2023,27.2,1624.0,81.0,5.92,249.0,21.0,163.0,46.0,2146.311135571455
2023-24,Jharsuguda,Jharsuguda,357.0,Kharif,35349.0,75123.36,2125.0,2023,28.7,1491.0,79.1,6.28,258.0,26.0,144.0,61.0,2125.190528727828
2023-24,Kalahandi,Kalahandi,358.0,Kharif,193094.0,409092.77,2119.0,2023,25.1,1700.0,75.4,6.5,268.0,22.0,110.0,52.0,2118.6197913969363
2023-24,Deogarh,Deogarh,351.0,Kharif,38433.0,80126.16,2085.0,2023,27.6,1813.0,83.1,6.24,289.0,24.0,178.0,40.0,2084.8271017094685
2023-24,Puri,Puri,369.0,Kharif,84741.0,176670.33,2085.0,2023,26.0,1395.0,79.2,5.82,308.0,19.0,208.0,74.0,2084.827061280844
2023-24,Jagatsinghapur,Jagatsinghapur,355.0,Kharif,79127.0,164706.14,2082.0,2023,25.7,1377.0,81.9,5.61,252.0,29.0,156.0,66.0,2081.541572408912
2023-24,Nabarangpur,Nabarangpur,366.0,Kharif,125741.0,256482.72,2040.0,2023,26.1,1294.0,80.0,6.6,268.0,22.0,174.0,62.0,2039.7700034197278
2023-24,Balasore,Balasore,346.0,Kharif,178991.0,352751.24,1971.0,2023,26.5,1424.0,85.8,6.4,238.0,19.0,157.0,59.0,1970.776407752345
2023-24,Bhadrak,Bhadrak,348.0,Kharif,144129.0,267540.38,1856.0,2023,27.1,1381.0,84.2,6.43,166.0,37.0,153.0,79.0,1856.2564091889903
2023-24,Balangir,Balangir,345.0,Kharif,174715.0,317181.71,1815.0,2023,25.3,1515.0,83.8,5.76,290.0,17.0,196.0,20.0,1815.4234610651633
2023-24,Ganjam,Ganjam,354.0,Kharif,289194.0,518494.45,1793.0,2023,28.4,1424.0,79.5,6.29,338.0,27.0,168.0,54.0,1792.8949079164852
2023-24,Mayurbhanj,Mayurbhanj,365.0,Kharif,297311.0,532489.22,1791.0,2023,27.7,1385.0,83.9,6.45,303.0,13.0,165.0,36.0,1791.0175540091016
2023-24,Kendrapara,Kendrapara,360.0,Kharif,121225.0,208410.98,1719.0,2023,24.7,1642.0,88.9,6.33,267.0,26.0,168.0,62.0,1719.2079191585894
2023-24,Nayagarh,Nayagarh,367.0,Kharif,88898.0,150789.68,1696.0,2023,29.2,1281.0,78.7,5.9,288.0,25.0,167.0,76.0,1696.2100384710568
2023-24,Khordha,Khordha,362.0,Kharif,86352.0,145214.73,1682.0,2023,29.8,1528.0,82.7,6.6,244.0,23.0,133.0,45.0,1681.6602973874374
2023-24,Malkangiri,Malkangiri,364.0,Kharif,118859.0,197035.39,1658.0,2023,28.8,1377.0,75.4,5.59,281.0,17.0,162.0,81.0,1657.7237735468075
2023-24,Nuapada,Nuapada,368.0,Kharif,105074.0,169054.82,1609.0,2023,26.7,1580.0,87.6,6.57,270.0,20.0,199.0,64.0,1608.9120048727564
2023-24,Jajapur,Jajpur,356.0,Kharif,131099.0,209388.49,1597.0,2023,25.4,1699.0,80.4,6.63,255.0,20.0,181.0,70.0,1597.1783919023028
2023-24,Sundargarh,Sundargarh,373.0,Kharif,180475.0,272156.84,1508.0,2023,28.6,1395.0,85.1,6.83,299.0,18.0,154.0,70.0,1508.0029921041696
2023-24,Gajapati,Gajapati,353.0,Kharif,39633.0,57906.53,1461.0,2023,26.4,1529.0,75.1,6.06,376.0,19.0,169.0,64.0,1461.068553982792
2023-24,Kandhamal,Kandhamal,359.0,Kharif,36030.0,49953.54,1386.0,2023,28.8,1482.0,89.2,5.8,343.0,31.0,190.0,44.0,1386.442964196503
2022-23,Jharsuguda,Jharsuguda,357.0,Summer,1080.0,4910.0,4.55,2022,26.0,1758.0,80.0,5.99,284.0,23.0,168.0,44.0,4546.2962962962965
2022-23,Sambalpur,Sambalpur,371.0,Summer,11400.0,51770.0,4.54,2022,26.8,1307.0,86.9,6.08,292.0,24.0,144.0,58.0,4541.228070175439
2022-23,Bargarh,Bargarh,347.0,Winter,205710.0,857530.0,4.17,2022,26.3,1262.0,80.6,6.02,261.0,21.0,163.0,43.0,4168.635457683146
2022-23,Sonepur,Sonepur,372.0,Summer,37010.0,149170.0,4.03,2022,29.8,1255.0,90.1,6.4,302.0,24.0,155.0,80.0,4030.5322885706564
2022-23,Bargarh,Bargarh,347.0,Summer,90730.0,364430.0,4.02,2022,28.0,1651.0,86.2,6.55,350.0,26.0,202.0,62.0,4016.642786288989
2022-23,Kendrapara,Kendrapara,360.0,Summer,490.0,1930.0,3.94,2022,27.6,1357.0,85.8,6.71,250.0,22.0,148.0,53.0,3938.7755102040815
2022-23,Kalahandi,Kalahandi,358.0,Summer,45670.0,170500.0,3.73,2022,25.8,1314.0,84.2,5.88,269.0,23.0,138.0,66.0,3733.3041383840596
2022-23,Sonepur,Sonepur,372.0,Winter,105340.0,392250.0,3.72,2022,26.0,1413.0,80.3,5.64,325.0,25.0,168.0,39.0,3723.6567305866715
2022-23,Balasore,Baleshwar,346.0,Summer,47130.0,174490.0,3.7,2022,27.0,1328.0,84.3,6.35,243.0,30.0,147.0,62.0,3702.3127519626564
2022-23,Cuttack,Cuttack,350.0,Summer,2340.0,8610.0,3.68,2022,26.0,1586.0,84.7,6.63,248.0,21.0,154.0,77.0,3679.4871794871797
2022-23,Khordha,Khordha,362.0,Summer,1860.0,6680.0,3.59,2022,28.0,1642.0,87.2,6.14,209.0,28.0,139.0,54.0,3591.3978494623657
2022-23,Kendujhar,Kendujhar,361.0,Autumn,17910.0,63570.0,3.55,2022,27.9,1627.0,80.1,6.63,270.0,28.0,148.0,63.0,3549.4137353433835
2022-23,Kendujhar,Kendujhar,361.0,Winter,155860.0,543520.0,3.49,2022,26.7,1588.0,78.6,5.74,309.0,25.0,172.0,43.0,3487.232131399974
2022-23,Puri,Puri,369.0,Summer,35920.0,125510.0,3.49,2022,27.6,1522.0,85.4,5.84,322.0,29.0,183.0,84.0,3494.153674832962
2022-23,Jagatsinghapur,Jagatsinghapur,355.0,Summer,640.0,2190.0,3.42,2022,25.4,1130.0,78.8,6.15,298.0,24.0,173.0,71.0,3421.875
2022-23,Boudh,Boudh,349.0,Winter,65020.0,221770.0,3.41,2022,24.8,1750.0,85.5,6.61,264.0,25.0,184.0,78.0,3410.7966779452477
2022-23,Anugul,Anugul,344.0,Winter,117080.0,396620.0,3.39,2022,27.7,1504.0,86.8,6.03,310.0,23.0,163.0,83.0,3387.5982234369662
2022-23,Dhenkanal,Dhenkanal,352.0,Winter,85970.0,291590.0,3.39,2022,27.3,1559.0,83.8,6.02,292.0,23.0,178.0,54.0,3391.7645690357103
2022-23,Nabarangpur,Nabarangpur,366.0,Winter,111520.0,375810.0,3.37,2022,28.0,1651.0,80.6,5.8,218.0,23.0,173.0,53.0,3369.8888091822096
2022-23,Balangir,Balangir,345.0,Summer,9080.0,30410.0,3.35,2022,30.6,1708.0,82.2,6.28,242.0,15.0,165.0,28.0,3349.1189427312775
2022-23,Koraput,Koraput,363.0,Winter,88880.0,295250.0,3.32,2022,28.4,1525.0,84.4,6.7,338.0,27.0,116.0,51.0,3321.894689468947
2022-23,Rayagada,Rayagada,370.0,Winter,48570.0,156900.0,3.23,2022,25.6,1528.0,82.0,6.48,296.0,22.0,162.0,68.0,3230.389129092032
2022-23,Sambalpur,Sambalpur,371.0,Winter,75790.0,244210.0,3.22,2022,28.7,1342.0,90.8,6.48,237.0,17.0,183.0,74.0,3222.1929014381844
2022-23,Anugul,Anugul,344.0,Summer,1180.0,3780.0,3.2,2022,25.0,1456.0,78.0,6.12,314.0,29.0,149.0,62.0,3203.3898305084745
2022-23,Koraput,Koraput,363.0,Summer,28100.0,88100.0,3.14,2022,26.3,1296.0,78.0,5.97,322.0,19.0,201.0,56.0,3135.2313167259786
2022-23,Nuapada,Nuapada,368.0,Summer,11150.0,34500.0,3.09,2022,26.9,1320.0,78.1,6.47,270.0,28.0,182.0,73.0,3094.170403587444
2022-23,Ganjam,Ganjam,354.0,Winter,293390.0,897490.0,3.06,2022,29.6,1289.0,79.6,6.19,308.0,20.0,195.0,64.0,3059.0340502402946
2022-23,Kalahandi,Kalahandi,358.0,Winter,172460.0,528030.0,3.06,2022,25.9,1422.0,73.3,6.13,154.0,29.0,200.0,49.0,3061.75345007538
2022-23,Bargarh,Bargarh,347.0,Autumn,29520.0,89320.0,3.03,2022,25.8,1639.0,79.5,6.56,319.0,33.0,123.0,56.0,3025.7452574525746
2022-23,Ganjam,Ganjam,354.0,Summer,170.0,510.0,3.0,2022,26.9,2021.0,79.4,6.12,326.0,16.0,184.0,62.0,3000.0
2022-23,Balasore,Baleshwar,346.0,Winter,173010.0,511770.0,2.96,2022,28.7,1207.0,83.7,6.56,295.0,29.0,189.0,20.0,2958.037107681637
2022-23,Khordha,Khordha,362.0,Winter,80220.0,236890.0,2.95,2022,25.4,1678.0,77.0,6.23,273.0,25.0,185.0,69.0,2953.0042383445525
2022-23,Kendujhar,Kendujhar,361.0,Summer,1380.0,4000.0,2.9,2022,25.3,1396.0,85.6,5.79,281.0,25.0,154.0,43.0,2898.550724637681
2022-23,Cuttack,Cuttack,350.0,Winter,109760.0,317020.0,2.89,2022,26.3,1331.0,89.2,5.75,270.0,29.0,145.0,72.0,2888.301749271137
2022-23,Bhadrak,Bhadrak,348.0,Winter,139640.0,400550.0,2.87,2022,26.3,1488.0,81.2,6.24,238.0,20.0,145.0,68.0,2868.4474362646806
2022-23,Jagatsinghapur,Jagatsinghapur,355.0,Winter,76030.0,216620.0,2.85,2022,29.9,1227.0,88.3,7.13,351.0,18.0,168.0,56.0,2849.1384979613313
2022-23,Deogarh,Deogarh,351.0,Winter,31270.0,88730.0,2.84,2022,28.4,1490.0,82.8,6.04,274.0,20.0,146.0,85.0,2837.543971858011
2022-23,Dhenkanal,Dhenkanal,352.0,Summer,250.0,710.0,2.84,2022,27.1,1434.0,90.0,6.07,289.0,31.0,146.0,68.0,2840.0
2022-23,Malkangiri,Malkangiri,364.0,Winter,116320.0,328930.0,2.83,2022,25.2,1468.0,86.5,6.81,250.0,20.0,153.0,53.0,2827.8026134800552
2022-23,Mayurbhanj,Mayurbhanj,365.0,Summer,3220.0,9050.0,2.81,2022,28.3,1519.0,75.7,6.18,249.0,16.0,172.0,82.0,2810.55900621118
2022-23,Nayagarh,Nayagarh,367.0,Summer,50.0,140.0,2.8,2022,25.5,1462.0,82.1,5.62,299.0,30.0,149.0,42.0,2800.0
2022-23,Boudh,Boudh,349.0,Summer,2230.0,6230.0,2.79,2022,24.7,1453.0,86.2,5.57,303.0,21.0,186.0,20.0,2793.7219730941706
2022-23,Mayurbhanj,Mayurbhanj,365.0,Winter,300180.0,830190.0,2.77,2022,28.8,1501.0,82.1,6.69,316.0,22.0,149.0,53.0,2765.6406156306216
2022-23,Sundargarh,Sundargarh,373.0,Summer,300.0,830.0,2.77,2022,27.5,1525.0,81.9,6.47,324.0,17.0,192.0,72.0,2766.6666666666665
2022-23,Nayagarh,Nayagarh,367.0,Winter,91940.0,252940.0,2.75,2022,28.4,1264.0,87.1,6.53,278.0,27.0,145.0,65.0,2751.142049162497
2022-23,Bhadrak,Bhadrak,348.0,Summer,1420.0,3880.0,2.73,2022,27.5,1193.0,79.2,6.18,269.0,27.0,161.0,54.0,2732.394366197183
2022-23,Nabarangpur,Nabarangpur,366.0,Autumn,21820.0,58380.0,2.68,2022,28.3,1439.0,82.1,5.91,311.0,21.0,167.0,68.0,2675.527039413382
2022-23,Nuapada,Nuapada,368.0,Winter,64610.0,169060.0,2.62,2022,26.0,1192.0,83.3,6.11,263.0,18.0,146.0,46.0,2616.6228138059123
2022-23,Gajapati,Gajapati,353.0,Winter,31500.0,81490.0,2.59,2022,25.4,1466.0,80.7,6.25,316.0,15.0,150.0,40.0,2586.9841269841268
2022-23,Kandhamal,Kandhamal,359.0,Summer,210.0,540.0,2.57,2022,28.0,1619.0,81.9,5.86,298.0,27.0,170.0,50.0,2571.4285714285716
2022-23,Malkangiri,Malkangiri,364.0,Summer,270.0,680.0,2.52,2022,25.8,1559.0,85.1,6.42,325.0,37.0,156.0,47.0,2518.5185185185187
2022-23,Jajapur,Jajapur,356.0,Summer,770.0,1920.0,2.49,2022,26.0,1261.0,83.7,5.7,308.0,26.0,154.0,43.0,2493.5064935064934
2022-23,Jajapur,Jajapur,356.0,Winter,101170.0,250970.0,2.48,2022,26.3,1295.0,78.8,6.07,248.0,27.0,157.0,56.0,2480.6760897499257
2022-23,Rayagada,Rayagada,370.0,Summer,430.0,1050.0,2.44,2022,27.0,1509.0,77.6,6.12,255.0,25.0,169.0,77.0,2441.860465116279
2022-23,Nabarangpur,Nabarangpur,366.0,Summer,430.0,1040.0,2.42,2022,26.5,1378.0,78.8,5.92,311.0,26.0,148.0,53.0,2418.6046511627906
2022-23,Boudh,Boudh,349.0,Autumn,3500.0,8360.0,2.39,2022,24.9,1393.0,82.0,5.32,352.0,23.0,198.0,44.0,2388.5714285714284
2022-23,Koraput,Koraput,363.0,Autumn,15520.0,36640.0,2.36,2022,26.0,1557.0,81.4,6.38,239.0,25.0,127.0,50.0,2360.824742268041
2022-23,Balangir,Balangir,345.0,Winter,127870.0,297500.0,2.33,2022,23.7,1272.0,78.7,5.9,286.0,20.0,166.0,55.0,2326.581684523344
2022-23,Kandhamal,Kandhamal,359.0,Winter,41190.0,95070.0,2.31,2022,27.9,1378.0,79.6,6.73,295.0,18.0,162.0,66.0,2308.084486525856
2022-23,Kendrapara,Kendrapara,360.0,Winter,120050.0,272650.0,2.27,2022,24.6,1306.0,75.9,6.06,232.0,25.0,158.0,70.0,2271.137026239067
2022-23,Kendrapara,Kendrapara,360.0,Autumn,570.0,1260.0,2.21,2022,25.3,1262.0,83.7,5.98,302.0,24.0,137.0,84.0,2210.5263157894738
2022-23,Dhenkanal,Dhenkanal,352.0,Autumn,250.0,530.0,2.12,2022,27.1,1296.0,81.8,6.24,282.0,18.0,177.0,50.0,2120.0
2022-23,Jharsuguda,Jharsuguda,357.0,Winter,24270.0,51520.0,2.12,2022,25.9,1572.0,77.0,6.62,212.0,21.0,132.0,66.0,2122.785331685208
2022-23,Mayurbhanj,Mayurbhanj,365.0,Autumn,15830.0,33380.0,2.11,2022,29.3,1459.0,82.1,5.97,342.0,22.0,175.0,55.0,2108.6544535691723
2022-23,Nuapada,Nuapada,368.0,Autumn,31100.0,64900.0,2.09,2022,25.1,1292.0,87.4,6.61,255.0,28.0,163.0,43.0,2086.816720257235
2022-23,Sonepur,Sonepur,372.0,Autumn,6980.0,14060.0,2.01,2022,27.4,1408.0,79.0,6.78,240.0,25.0,154.0,58.0,2014.32664756447
2022-23,Deogarh,Deogarh,351.0,Summer,10.0,20.0,2.0,2022,26.9,1155.0,87.3,6.6,300.0,23.0,139.0,25.0,2000.0
2022-23,Khordha,Khordha,362.0,Autumn,10.0,20.0,2.0,2022,25.2,1318.0,80.7,6.85,305.0,16.0,151.0,52.0,2000.0
2022-23,Puri,Puri,369.0,Winter,85670.0,170730.0,1.99,2022,27.8,1837.0,82.8,6.72,311.0,25.0,118.0,57.0,1992.8796544881523
2022-23,Cuttack,Cuttack,350.0,Autumn,1320.0,2610.0,1.98,2022,26.7,1434.0,82.4,6.81,271.0,27.0,177.0,54.0,1977.2727272727273
2022-23,Gajapati,Gajapati,353.0,Summer,590.0,1110.0,1.88,2022,28.2,1582.0,87.6,6.84,285.0,35.0,168.0,47.0,1881.3559322033898
