fiscal_year,state,district_as_per_source,district_as_per_lgd,district_lgd_code,crop,season,area,production,crop_yield,unit,note
2024-25,Odisha,Malkangiri,Malkangiri,364.0,Maize,Summer,29.0,47.6,1641.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Gajapati,Gajapati,353.0,Groundnut,Summer,185.03,295.18,1595.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sundargarh,Sundargarh,373.0,Rice,Kharif,127950.96,202457.59,1582.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Jharsuguda,Jharsuguda,357.0,Groundnut,Kharif,34.66,54.48,1572.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Bargarh,Bargarh,347.0,Maize,Summer,14.0,21.71,1550.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Puri,Puri,369.0,Groundnut,Summer,1404.22,2164.35,1541.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Kandhamal,Kandhamal,359.0,Rice,Kharif,41647.38,64086.16,1539.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Rayagada,Rayagada,370.0,Groundnut,Summer,41.01,61.36,1496.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Nuapada,Nuapada,368.0,Groundnut,Kharif,1542.22,2291.62,1486.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Rayagada,Rayagada,370.0,Maize,Summer,13.0,19.18,1475.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Sonepur,Sonepur,372.0,Groundnut,Kharif,7.43,10.88,1465.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2024-25,Odisha,Keonjhar,Kendujhar,361.0,Groundnut,Kharif,423.31,612.5,1447.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
